timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-01-02,165.45,167.89,163.12,166.78,165.445493247853,34567890,0.0,1.0
2025-01-03,166.78,169.45,165.67,168.34,167.005493247853,32345678,0.0,1.0
2025-01-06,168.34,171.67,167.89,170.45,169.115493247853,41234567,0.0,1.0
2025-01-07,170.45,172.89,169.34,171.67,170.335493247853,37890123,0.0,1.0
2025-01-08,171.67,174.23,170.67,173.12,171.785493247853,43456789,0.0,1.0
2025-01-09,173.12,175.67,172.23,174.89,173.555493247853,35678901,0.0,1.0
2025-01-10,174.89,177.34,173.67,176.23,174.895493247853,31234567,0.0,1.0
2025-01-13,176.23,178.78,175.12,177.67,176.335493247853,38901234,0.0,1.0
2025-01-14,177.67,180.23,176.67,179.34,178.005493247853,34567890,0.0,1.0
2025-01-15,179.34,181.78,178.23,180.67,179.335493247853,42345678,0.0,1.0
2025-01-16,180.67,183.45,179.89,182.34,181.005493247853,46789012,0.0,1.0
2025-01-17,182.34,184.78,181.23,183.89,182.555493247853,41234567,0.0,1.0
2025-01-20,183.89,186.34,182.67,185.23,183.895493247853,37890123,0.0,1.0
2025-01-21,185.23,187.78,184.12,186.67,185.335493247853,43456789,0.0,1.0
2025-01-22,186.67,189.23,185.67,188.34,187.005493247853,35678901,0.0,1.0
2025-01-23,188.34,190.78,187.23,189.67,188.335493247853,38901234,0.0,1.0
2025-01-24,189.67,192.45,188.89,191.34,190.005493247853,42345678,0.0,1.0
2025-01-27,191.34,193.78,190.23,192.89,191.555493247853,46789012,0.0,1.0
2025-01-28,192.89,195.34,191.67,194.23,192.895493247853,41234567,0.0,1.0
2025-01-29,194.23,196.78,193.12,195.67,194.335493247853,37890123,0.0,1.0
2025-01-30,195.67,198.23,194.67,197.34,196.005493247853,43456789,0.0,1.0
2025-01-31,197.34,199.78,196.23,198.67,197.335493247853,35678901,0.0,1.0
