timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-01-02,55.25,57.89,53.12,56.78,55.445493247853,23456789,0.0,1.0
2025-01-03,56.78,59.45,55.67,58.34,57.005493247853,22345678,0.0,1.0
2025-01-06,58.34,61.67,57.89,60.45,59.115493247853,31234567,0.0,1.0
2025-01-07,60.45,62.89,59.34,61.67,60.335493247853,27890123,0.0,1.0
2025-01-08,61.67,64.23,60.67,63.12,61.785493247853,33456789,0.0,1.0
2025-01-09,63.12,65.67,62.23,64.89,63.555493247853,25678901,0.0,1.0
2025-01-10,64.89,67.34,63.67,66.23,64.895493247853,21234567,0.0,1.0
2025-01-13,66.23,68.78,65.12,67.67,66.335493247853,28901234,0.0,1.0
2025-01-14,67.67,70.23,66.67,69.34,68.005493247853,24567890,0.0,1.0
2025-01-15,69.34,71.78,68.23,70.67,69.335493247853,32345678,0.0,1.0
2025-01-16,70.67,73.45,69.89,72.34,71.005493247853,36789012,0.0,1.0
2025-01-17,72.34,74.78,71.23,73.89,72.555493247853,31234567,0.0,1.0
2025-01-20,73.89,76.34,72.67,75.23,73.895493247853,27890123,0.0,1.0
2025-01-21,75.23,77.78,74.12,76.67,75.335493247853,33456789,0.0,1.0
2025-01-22,76.67,79.23,75.67,78.34,77.005493247853,25678901,0.0,1.0
2025-01-23,78.34,80.78,77.23,79.67,78.335493247853,28901234,0.0,1.0
2025-01-24,79.67,82.45,78.89,81.34,80.005493247853,32345678,0.0,1.0
2025-01-27,81.34,83.78,80.23,82.89,81.555493247853,36789012,0.0,1.0
2025-01-28,82.89,85.34,81.67,84.23,82.895493247853,31234567,0.0,1.0
2025-01-29,84.23,86.78,83.12,85.67,84.335493247853,27890123,0.0,1.0
2025-01-30,85.67,88.23,84.67,87.34,86.005493247853,33456789,0.0,1.0
2025-01-31,87.34,89.78,86.23,88.67,87.335493247853,25678901,0.0,1.0
