timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-01-02,375.45,378.12,372.89,376.78,375.445493247853,45678901,0.0,1.0
2025-01-03,376.78,379.45,375.23,378.34,377.005493247853,42345678,0.0,1.0
2025-01-06,378.34,381.67,377.12,380.45,379.115493247853,51234567,0.0,1.0
2025-01-07,380.45,382.89,379.34,381.67,380.335493247853,47890123,0.0,1.0
2025-01-08,381.67,384.23,380.67,383.12,381.785493247853,53456789,0.0,1.0
2025-01-09,383.12,385.67,382.23,384.89,383.555493247853,45678901,0.0,1.0
2025-01-10,384.89,387.34,383.67,386.23,384.895493247853,41234567,0.0,1.0
2025-01-13,386.23,388.78,385.12,387.67,386.335493247853,48901234,0.0,1.0
2025-01-14,387.67,390.23,386.67,389.34,388.005493247853,44567890,0.0,1.0
2025-01-15,389.34,391.78,388.23,390.67,389.335493247853,52345678,0.0,1.0
