timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-01-02,245.25,247.89,243.12,246.78,245.445493247853,56789012,0.0,1.0
2025-01-03,246.78,249.45,245.67,248.34,247.005493247853,52345678,0.0,1.0
2025-01-06,248.34,251.67,247.89,250.45,249.115493247853,61234567,0.0,1.0
2025-01-07,250.45,252.89,249.34,251.67,250.335493247853,57890123,0.0,1.0
2025-01-08,251.67,254.23,250.67,253.12,251.785493247853,63456789,0.0,1.0
2025-01-09,253.12,255.67,252.23,254.89,253.555493247853,55678901,0.0,1.0
2025-01-10,254.89,257.34,253.67,256.23,254.895493247853,51234567,0.0,1.0
2025-01-13,256.23,258.78,255.12,257.67,256.335493247853,58901234,0.0,1.0
2025-01-14,257.67,260.23,256.67,259.34,258.005493247853,54567890,0.0,1.0
2025-01-15,259.34,261.78,258.23,260.67,259.335493247853,62345678,0.0,1.0
2025-01-16,260.67,263.45,259.89,262.34,261.005493247853,66789012,0.0,1.0
2025-01-17,262.34,264.78,261.23,263.89,262.555493247853,61234567,0.0,1.0
2025-01-20,263.89,266.34,262.67,265.23,263.895493247853,57890123,0.0,1.0
2025-01-21,265.23,267.78,264.12,266.67,265.335493247853,63456789,0.0,1.0
2025-01-22,266.67,269.23,265.67,268.34,267.005493247853,55678901,0.0,1.0
2025-01-23,268.34,270.78,267.23,269.67,268.335493247853,58901234,0.0,1.0
2025-01-24,269.67,272.45,268.89,271.34,270.005493247853,62345678,0.0,1.0
2025-01-27,271.34,273.78,270.23,272.89,271.555493247853,66789012,0.0,1.0
2025-01-28,272.89,275.34,271.67,274.23,272.895493247853,61234567,0.0,1.0
2025-01-29,274.23,276.78,273.12,275.67,274.335493247853,57890123,0.0,1.0
2025-01-30,275.67,278.23,274.67,277.34,276.005493247853,63456789,0.0,1.0
2025-01-31,277.34,279.78,276.23,278.67,277.335493247853,55678901,0.0,1.0
