timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-01-02,187.15,188.44,183.885,185.64,184.305493247853,82488674,0.0,1.0
2025-01-03,185.64,187.25,184.12,186.89,185.549493247853,78945632,0.0,1.0
2025-01-06,186.89,189.45,186.23,188.76,187.419493247853,91234567,0.0,1.0
2025-01-07,188.76,190.12,187.89,189.45,188.109493247853,87654321,0.0,1.0
2025-01-08,189.45,191.78,188.67,190.23,188.889493247853,94567890,0.0,1.0
2025-01-09,190.23,192.45,189.34,191.67,190.329493247853,82345678,0.0,1.0
2025-01-10,191.67,193.12,190.45,192.34,190.999493247853,75678901,0.0,1.0
2025-01-13,192.34,194.67,191.78,193.89,192.549493247853,88901234,0.0,1.0
2025-01-14,193.89,195.23,192.67,194.56,193.209493247853,73456789,0.0,1.0
2025-01-15,194.56,196.78,193.45,195.67,194.319493247853,86789012,0.0,1.0
