timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-01-02,145.25,147.89,143.12,146.78,145.445493247853,45678901,0.0,1.0
2025-01-03,146.78,149.45,145.67,148.34,147.005493247853,42345678,0.0,1.0
2025-01-06,148.34,151.67,147.89,150.45,149.115493247853,51234567,0.0,1.0
2025-01-07,150.45,152.89,149.34,151.67,150.335493247853,47890123,0.0,1.0
2025-01-08,151.67,154.23,150.67,153.12,151.785493247853,53456789,0.0,1.0
2025-01-09,153.12,155.67,152.23,154.89,153.555493247853,45678901,0.0,1.0
2025-01-10,154.89,157.34,153.67,156.23,154.895493247853,41234567,0.0,1.0
2025-01-13,156.23,158.78,155.12,157.67,156.335493247853,48901234,0.0,1.0
2025-01-14,157.67,160.23,156.67,159.34,158.005493247853,44567890,0.0,1.0
2025-01-15,159.34,161.78,158.23,160.67,159.335493247853,52345678,0.0,1.0
2025-01-16,160.67,163.45,159.89,162.34,161.005493247853,56789012,0.0,1.0
2025-01-17,162.34,164.78,161.23,163.89,162.555493247853,51234567,0.0,1.0
2025-01-20,163.89,166.34,162.67,165.23,163.895493247853,47890123,0.0,1.0
2025-01-21,165.23,167.78,164.12,166.67,165.335493247853,53456789,0.0,1.0
2025-01-22,166.67,169.23,165.67,168.34,167.005493247853,45678901,0.0,1.0
2025-01-23,168.34,170.78,167.23,169.67,168.335493247853,48901234,0.0,1.0
2025-01-24,169.67,172.45,168.89,171.34,170.005493247853,52345678,0.0,1.0
2025-01-27,171.34,173.78,170.23,172.89,171.555493247853,56789012,0.0,1.0
2025-01-28,172.89,175.34,171.67,174.23,172.895493247853,51234567,0.0,1.0
2025-01-29,174.23,176.78,173.12,175.67,174.335493247853,47890123,0.0,1.0
2025-01-30,175.67,178.23,174.67,177.34,176.005493247853,53456789,0.0,1.0
2025-01-31,177.34,179.78,176.23,178.67,177.335493247853,45678901,0.0,1.0
