timestamp,open,high,low,close,volume
2024-01-01T09:30:00Z,248.50,255.20,246.80,252.10,65000000
2024-01-01T10:00:00Z,252.10,258.50,250.90,256.20,48000000
2024-01-01T10:30:00Z,256.20,262.10,254.80,260.40,42000000
2024-01-01T11:00:00Z,260.40,265.90,258.90,263.60,38000000
2024-01-01T11:30:00Z,263.60,268.20,261.80,266.40,35000000
2024-01-01T12:00:00Z,266.40,270.10,264.50,268.80,32000000
2024-01-01T12:30:00Z,268.80,272.50,266.90,270.60,30000000
2024-01-01T13:00:00Z,270.60,274.20,268.80,272.40,28000000
2024-01-01T13:30:00Z,272.40,276.10,270.70,274.20,26000000
2024-01-01T14:00:00Z,274.20,278.50,272.80,276.60,30000000
2024-01-01T14:30:00Z,276.60,280.20,274.90,278.80,33000000
2024-01-01T15:00:00Z,278.80,282.40,277.10,280.70,36000000
2024-01-01T15:30:00Z,280.70,284.20,279.00,282.80,40000000
2024-01-01T16:00:00Z,282.80,286.50,281.20,284.90,55000000
