timestamp,open,high,low,close,volume
2024-01-01T09:30:00Z,158.50,160.20,157.80,159.10,8000000
2024-01-01T10:00:00Z,159.10,160.50,158.90,159.80,6000000
2024-01-01T10:30:00Z,159.80,161.10,159.30,160.40,5500000
2024-01-01T11:00:00Z,160.40,161.90,159.90,161.20,5000000
2024-01-01T11:30:00Z,161.20,162.20,160.60,161.80,4500000
2024-01-01T12:00:00Z,161.80,163.10,161.30,162.50,4200000
2024-01-01T12:30:00Z,162.50,163.50,161.90,163.10,4000000
2024-01-01T13:00:00Z,163.10,164.20,162.40,163.60,3800000
2024-01-01T13:30:00Z,163.60,164.80,162.90,164.20,3600000
2024-01-01T14:00:00Z,164.20,165.50,163.80,164.90,4200000
2024-01-01T14:30:00Z,164.90,166.20,164.30,165.60,4800000
2024-01-01T15:00:00Z,165.60,166.70,165.10,166.20,5200000
2024-01-01T15:30:00Z,166.20,167.20,165.80,166.80,5800000
2024-01-01T16:00:00Z,166.80,168.00,166.30,167.50,7000000
