timestamp,open,high,low,close,volume
2024-01-01T09:30:00Z,180.50,185.20,179.80,184.10,45000000
2024-01-01T10:00:00Z,184.10,186.50,183.90,185.20,32000000
2024-01-01T10:30:00Z,185.20,187.10,184.80,186.40,28000000
2024-01-01T11:00:00Z,186.40,188.90,185.90,187.60,25000000
2024-01-01T11:30:00Z,187.60,189.20,186.80,188.40,22000000
2024-01-01T12:00:00Z,188.40,190.10,187.50,189.80,20000000
2024-01-01T12:30:00Z,189.80,191.50,188.90,190.60,18000000
2024-01-01T13:00:00Z,190.60,192.20,189.80,191.40,16000000
2024-01-01T13:30:00Z,191.40,193.10,190.70,192.20,15000000
2024-01-01T14:00:00Z,192.20,194.50,191.80,193.60,19000000
2024-01-01T14:30:00Z,193.60,195.20,192.90,194.80,21000000
2024-01-01T15:00:00Z,194.80,196.40,194.10,195.70,23000000
2024-01-01T15:30:00Z,195.70,197.20,195.00,196.80,26000000
2024-01-01T16:00:00Z,196.80,198.50,196.20,197.90,35000000
