timestamp,open,high,low,close,volume
2024-01-01T09:30:00Z,48.50,49.20,48.20,48.80,12000000
2024-01-01T10:00:00Z,48.80,49.50,48.60,49.20,9000000
2024-01-01T10:30:00Z,49.20,49.80,48.90,49.40,8500000
2024-01-01T11:00:00Z,49.40,50.10,49.10,49.70,8000000
2024-01-01T11:30:00Z,49.70,50.20,49.40,49.90,7500000
2024-01-01T12:00:00Z,49.90,50.50,49.60,50.20,7200000
2024-01-01T12:30:00Z,50.20,50.70,49.90,50.40,7000000
2024-01-01T13:00:00Z,50.40,50.90,50.10,50.60,6800000
2024-01-01T13:30:00Z,50.60,51.10,50.30,50.80,6600000
2024-01-01T14:00:00Z,50.80,51.40,50.50,51.10,7200000
2024-01-01T14:30:00Z,51.10,51.60,50.80,51.30,7800000
2024-01-01T15:00:00Z,51.30,51.80,51.00,51.50,8400000
2024-01-01T15:30:00Z,51.50,52.00,51.20,51.70,9000000
2024-01-01T16:00:00Z,51.70,52.20,51.40,51.90,10500000
