timestamp,open,high,low,close,volume
2025-06-30 09:31:00,445.1234,446.7890,444.5678,446.2345,345678
2025-06-30 09:32:00,446.2345,447.4567,445.8901,447.1234,367890
2025-06-30 09:33:00,447.1234,448.2345,446.7890,447.8901,356789
2025-06-30 09:34:00,447.8901,448.9012,447.2345,448.5678,378901
2025-06-30 09:35:00,448.5678,449.6789,447.8901,449.2345,389012
2025-06-30 09:36:00,449.2345,450.3456,448.5678,449.8901,401234
2025-06-30 09:37:00,449.8901,450.9012,449.2345,450.5678,412345
2025-06-30 09:38:00,450.5678,451.6789,449.8901,451.2345,423456
2025-06-30 09:39:00,451.2345,452.3456,450.5678,451.8901,434567
2025-06-30 09:40:00,451.8901,452.9012,451.2345,452.5678,445678
