timestamp,open,high,low,close,volume
2025-01-02 09:30:00,55.25,57.89,53.12,56.78,23456789
2025-01-03 09:30:00,56.78,59.45,55.67,58.34,22345678
2025-01-06 09:30:00,58.34,61.67,57.89,60.45,31234567
2025-01-07 09:30:00,60.45,62.89,59.34,61.67,27890123
2025-01-08 09:30:00,61.67,64.23,60.67,63.12,33456789
2025-01-09 09:30:00,63.12,65.67,62.23,64.89,25678901
2025-01-10 09:30:00,64.89,67.34,63.67,66.23,21234567
2025-01-13 09:30:00,66.23,68.78,65.12,67.67,28901234
2025-01-14 09:30:00,67.67,70.23,66.67,69.34,24567890
2025-01-15 09:30:00,69.34,71.78,68.23,70.67,32345678
2025-01-16 09:30:00,70.67,73.45,69.89,72.34,36789012
2025-01-17 09:30:00,72.34,74.78,71.23,73.89,31234567
2025-01-20 09:30:00,73.89,76.34,72.67,75.23,27890123
2025-01-21 09:30:00,75.23,77.78,74.12,76.67,33456789
2025-01-22 09:30:00,76.67,79.23,75.67,78.34,25678901
2025-01-23 09:30:00,78.34,80.78,77.23,79.67,28901234
2025-01-24 09:30:00,79.67,82.45,78.89,81.34,32345678
2025-01-27 09:30:00,81.34,83.78,80.23,82.89,36789012
2025-01-28 09:30:00,82.89,85.34,81.67,84.23,31234567
2025-01-29 09:30:00,84.23,86.78,83.12,85.67,27890123
2025-01-30 09:30:00,85.67,88.23,84.67,87.34,33456789
2025-01-31 09:30:00,87.34,89.78,86.23,88.67,25678901
